slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning
xl/gpt-5.6-sol,GPT-5.6 Sol,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,128000,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",low
xl/gpt-5.6-terra,GPT-5.6 Terra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,128000,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
xl/gpt-6-astra,GPT-6 Astra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,128000,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
xl/gpt-image-2,gpt-image-2,"[""text"",""image""]","[""image""]",0,0,未知,未知,0,"[""low"",""medium"",""high"",""xhigh""]",medium
xl/grok-4.5,Grok 4.5,"[""text"",""image"",""pdf""]","[""text""]",500000,未知,65536,未知,500000,"[""low"",""medium"",""high""]",high
xl/grok-4.6,Grok 4.6,"[""text"",""image"",""pdf""]","[""text""]",500000,未知,65536,未知,500000,"[""low"",""medium"",""high"",""xhigh""]",high
xl/grok-build-0.1,Grok Build 0.1,"[""text"",""image"",""pdf""]","[""text""]",256000,未知,256000,未知,256000,"[""low"",""medium"",""high"",""xhigh""]",medium
xl/grok-composer-2.5-fast,Composer 2.5 Fast,"[""text"",""image""]",未知,200000,未知,32768,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
xl/grok-imagine-image-2.0,Grok Imagine Image 2.0,"[""text"",""image"",""pdf""]","[""image"",""pdf""]",64000,未知,未知,未知,0,"[""low"",""medium"",""high"",""xhigh""]",medium
xl/grok-imagine-image-quality,Grok Imagine Image Quality,"[""text"",""image"",""pdf""]","[""image"",""pdf""]",16000,未知,未知,未知,0,"[""low"",""medium"",""high"",""xhigh""]",medium
xl/grok-imagine-video-1.5,Grok Imagine Video 1.5,"[""text"",""image"",""audio"",""pdf""]","[""video""]",1024,未知,未知,未知,0,"[""low"",""medium"",""high"",""xhigh""]",medium
xl/hy4-preview,Hy4 preview,"[""text""]","[""text""]",1024000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium
xl/kimi-k3,Kimi K3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
xl/minimax-m3,minimax-m3,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
xl/muse-spark-1.3-contributor,Muse Spark 1.3 Contributor,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium
xl/omen-alpha,omen-alpha,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium
zcode/glm-4.5-air,GLM-4.5-Air,"[""text""]","[""text""]",131072,未知,98304,未知,98304,"[""low"",""medium"",""high""]",medium
zcode/glm-4.6,GLM-4.6,"[""text""]","[""text""]",204800,未知,131072,未知,131072,"[""low"",""medium"",""high""]",medium
zcode/glm-4.6v,GLM-4.6V,"[""text"",""image"",""video""]","[""text""]",128000,未知,未知,未知,32768,"[""low"",""medium"",""high""]",medium
zcode/glm-4.7,GLM-4.7,"[""text""]","[""text""]",204800,未知,131072,未知,131072,"[""low"",""medium"",""high""]",medium
zcode/glm-5,GLM-5,"[""text""]","[""text""]",204800,未知,131072,未知,131072,"[""low"",""medium"",""high""]",medium
zcode/glm-5-turbo,GLM-5-Turbo,"[""text""]","[""text""]",200000,未知,131072,未知,131072,"[""low"",""medium"",""high""]",medium
zcode/glm-5.1,GLM-5.1,"[""text""]","[""text""]",200000,未知,131072,未知,131072,"[""low"",""medium"",""high""]",medium
zcode/glm-5.2,GLM-5.2,"[""text""]","[""text""]",1000000,未知,131072,未知,131072,"[""high"",""max""]",max
zcode/glm-5.3,GLM-5.3,"[""text""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium
zcode/glm-5v-turbo,GLM-5V-Turbo,"[""text"",""image"",""video"",""pdf""]","[""text""]",200000,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium
