slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning,历史分类_非当前结论,代码部署前缺失,当前缺失,核心字段变化,id部署前存在,id现在存在,已知风险
commandcode/gpt-5.3-codex,GPT-5.3 Codex,"[""text"",""image"",""pdf""]","[""text""]",400000,272000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":272000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}}",True,True,
commandcode/gpt-5.4,GPT-5.4,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":400000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}}",True,True,
commandcode/gpt-5.4-mini,GPT-5.4 mini,"[""text"",""image""]","[""text""]",400000,272000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""GPT-5.4 Mini"",""after"":""GPT-5.4 mini""},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":272000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}}",True,True,
commandcode/gpt-5.5,GPT-5.5,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":400000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}}",True,True,
commandcode/gpt-5.6-luna,GPT-5.6 Luna,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/gpt-5.6-sol,GPT-5.6 Sol,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/gpt-5.6-terra,GPT-5.6 Terra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",True,True,
commandcode/meituan/LongCat-2.0:free,LongCat 2.0,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium,准确型号未找到，暂留未知,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},True,True,
commandcode/meta/muse-spark-1.1,Muse Spark 1.1,"[""text"",""image"",""pdf"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/meta/muse-spark-1.2,Muse Spark 1.2,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/meta/muse-spark-1.2-contributor,Muse Spark 1.2 Contributor,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/meta/muse-spark-1.3,Muse Spark 1.3,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/meta/muse-spark-1.3-contributor,Muse Spark 1.3 Contributor,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[""minimal"",""low"",""medium"",""high"",""xhigh""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/moonshotai/Kimi-K2.5,Kimi K2.5,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/moonshotai/Kimi-K2.6,Kimi K2.6,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/moonshotai/Kimi-K2.7-Code,Kimi K2.7 Code,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/moonshotai/Kimi-K2.7-Code-Highspeed,Kimi K2.7 Code HighSpeed,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/moonshotai/Kimi-K3,Kimi K3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
commandcode/nvidia/nemotron-3-ultra-550b-a55b,Nemotron 3 Ultra 550B A55B,"[""text""]","[""text""]",1000000,未知,未知,未知,65536,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/poolside/laguna-s-2.1-free,Laguna S 2.1,"[""text"",""image""]",未知,256000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium,仅其他来源有候选，需单独确认,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},True,True,
commandcode/sakana/fugu-ultra,Fugu Ultra,"[""text"",""image""]","[""text""]",1000000,未知,未知,未知,1000000,"[""high"",""xhigh""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
commandcode/stepfun/Step-3.5-Flash,Step 3.5 Flash,"[""text""]","[""text""]",256000,256000,未知,未知,256000,"[""low"",""high""]",medium,主要字段已有值，不强补其他列,"max_tokens,max_completion_tokens","max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
commandcode/stepfun/Step-3.7-Flash,Step 3.7 Flash,"[""text"",""image"",""video""]","[""text""]",256000,256000,未知,未知,256000,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_tokens,max_completion_tokens","max_tokens,max_completion_tokens",{},True,True,
commandcode/tencent/hy3-paid,Tencent Hy3,"[""text"",""image""]",未知,262144,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium,准确型号未找到，暂留未知,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},True,True,
commandcode/tencent/hy4-preview,Hy4 preview,"[""text""]","[""text""]",1024000,未知,未知,未知,64000,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/thinkingmachines/inkling,Inkling,"[""text"",""image""]","[""text""]",65536,未知,未知,未知,65536,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/thinkingmachines/inkling-small,Inkling Small,"[""text"",""image"",""audio""]","[""text""]",1048576,未知,未知,未知,1048576,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/xai/grok-4.5,Grok 4.5,"[""text"",""image"",""pdf""]","[""text""]",500000,未知,未知,未知,500000,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/xai/grok-4.6,Grok 4.6,"[""text"",""image"",""pdf""]","[""text""]",500000,未知,未知,未知,500000,"[""low"",""medium"",""high"",""xhigh""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/xiaomi/mimo-v2.5,MiMo-V2.5,"[""text"",""image"",""audio"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/xiaomi/mimo-v2.5-pro,MiMo-V2.5-Pro,"[""text""]","[""text""]",1048576,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/z-ai/glm-5.3-flash,GLM-5.3-Flash,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
commandcode/zai-org/GLM-5,GLM-5,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/zai-org/GLM-5.1,GLM-5.1,"[""text""]","[""text""]",200000,未知,未知,未知,131072,"[""low"",""medium"",""high""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,
commandcode/zai-org/GLM-5.2,GLM-5.2,"[""text""]","[""text""]",1000000,未知,未知,未知,131072,"[""high"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
commandcode/zai-org/GLM-5.2-Fast,GLM-5.2 Fast,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium,仅其他来源有候选，需单独确认,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},True,True,
commandcode/zai-org/GLM-5.3,GLM-5.3,"[""text""]","[""text""]",1000000,未知,未知,未知,131072,"[""low"",""high"",""max""]",medium,主要字段已有值，不强补其他列,"max_input_tokens,max_tokens,max_completion_tokens","max_input_tokens,max_tokens,max_completion_tokens",{},True,True,默认推理等级不在支持列表中；未自动修正
congee/gpt-5.5,GPT-5.5,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.5"",""after"":""GPT-5.5""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}}",False,True,
congee/gpt-5.6,GPT-5.6,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.6"",""after"":""GPT-5.6""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
congee/gpt-5.6-luna,GPT-5.6 Luna,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.6-luna"",""after"":""GPT-5.6 Luna""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
congee/gpt-5.6-sol,GPT-5.6 Sol,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.6-sol"",""after"":""GPT-5.6 Sol""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
congee/gpt-5.6-terra,GPT-5.6 Terra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.6-terra"",""after"":""GPT-5.6 Terra""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
congee/gpt-6,gpt-6,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high""]",medium,准确型号未找到，暂留未知,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},False,False,
congee/gpt-6-astra,GPT-6 Astra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-6-astra"",""after"":""GPT-6 Astra""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
gmicloud/MiniMaxAI/MiniMax-M3,MiniMaxAI/MiniMax-M3,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium,自有目录取数失败，先排查获取链,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens",{},False,False,自有目录403退CPA；未改GMI配置
gpt-5.6-luna,GPT 5.6 Luna,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
gpt-5.6-sol,GPT 5.6 Sol,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
gpt-5.6-terra,GPT 5.6 Terra,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
gpt-6-astra,GPT 6.0 Astra,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
grok-4.7,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,静态父项缺失，先处理继承关系,"display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens,supported_reasoning_levels,default_reasoning_level","display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens,supported_reasoning_levels,default_reasoning_level",{},False,False,静态父项缺失
