slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning,行号,分类,缺失字段,建议关注缺项,无需强补的独立字段,补全必要性,补全方式,当前查询证据_固定来源,候选来源与值_非已应用,候选可补字段,候选与已有字段差异_非最终合并,已有值风险,部署时输出字段失去,部署时id存在性变化,验证边界
commandcode/deepseek/deepseek-v4-flash,DeepSeek V4 Flash,"[""text""]","[""text""]",1000000,未知,未知,未知,384000,"[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}]",medium,39,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/deepseek id=deepseek-v4-flash hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},default_reasoning=medium不在reasoning_levels中；非缺字段，另行核对，不自动改值,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/deepseek/deepseek-v4-flash-fast,DeepSeek V4 Flash Fast,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,40,准确型号未找到，暂留未知,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,输出/模态有补全价值，但准确型号证据不足，暂留未知。,逐项核对准确型号/供应方资料；不删日期、:tag、-fast、-free、-paid、-high或猜替代版本。没有记录时加绑定也无效。,models.dev/deepseek id=deepseek-v4-flash-fast miss,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/deepseek/deepseek-v4-flash-vision-exp,DeepSeek V4 Flash Vision Exp,"[""text"",""image""]","[""text""]",1000000,未知,未知,未知,384000,"[{""effort"":""low""},{""effort"":""high""},{""effort"":""max""}]",medium,41,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/deepseek id=deepseek-v4-flash-vision-exp hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},default_reasoning=medium不在reasoning_levels中；非缺字段，另行核对，不自动改值,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/deepseek/deepseek-v4-pro,DeepSeek V4 Pro,"[""text""]","[""text""]",1000000,未知,未知,未知,384000,"[{""effort"":""high""},{""effort"":""max""}]",medium,42,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/deepseek id=deepseek-v4-pro hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},default_reasoning=medium不在reasoning_levels中；非缺字段，另行核对，不自动改值,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/google/gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}]",medium,43,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/google id=gemini-3.1-flash-lite hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/google/gemini-3.5-flash,Gemini 3.5 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}]",medium,44,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/google id=gemini-3.5-flash hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/google/gemini-3.5-flash-lite,Gemini 3.5 Flash Lite,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}]",medium,45,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/google id=gemini-3.5-flash-lite hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/google/gemini-3.6-flash,Gemini 3.6 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}]",medium,46,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/google id=gemini-3.6-flash hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/google/gemini-3.7-flash,Gemini 3.7 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}]",medium,47,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/google id=gemini-3.7-flash hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/google/gemini-3.8-flash,Gemini 3.8 Flash,"[""text"",""image"",""video"",""audio"",""pdf""]","[""text""]",1048576,未知,未知,未知,65536,"[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""}]",medium,48,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/google id=gemini-3.8-flash hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/gpt-5.3-codex,GPT-5.3 Codex,"[""text"",""image""]",未知,400000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,49,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.3-codex；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,models.dev/ id=gpt-5.3-codex ambiguous:12,"models.dev/openai / gpt-5.3-codex => {""context_window"":400000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":272000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}","{""max_input_tokens"":272000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/gpt-5.4,GPT-5.4,"[""text"",""image""]",未知,400000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,50,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.4；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,models.dev/ id=gpt-5.4 ambiguous:20,"models.dev/openai / gpt-5.4 => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1050000,""current"":400000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/gpt-5.4-mini,GPT-5.4 Mini,"[""text"",""image""]",未知,400000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,51,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.4-mini；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,models.dev/ id=gpt-5.4-mini ambiguous:15,"models.dev/openai / gpt-5.4-mini => {""context_window"":400000,""input_modalities"":[""text"",""image""],""max_input_tokens"":272000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}","{""max_input_tokens"":272000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/gpt-5.5,GPT-5.5,"[""text"",""image""]",未知,400000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,52,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.5；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,models.dev/ id=gpt-5.5 ambiguous:18,"models.dev/openai / gpt-5.5 => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1050000,""current"":400000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/gpt-5.6-luna,GPT-5.6 Luna,"[""text"",""image""]",未知,1050000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,53,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.6-luna；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,models.dev/ id=gpt-5.6-luna ambiguous:16,"models.dev/openai / gpt-5.6-luna => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/gpt-5.6-sol,GPT-5.6 Sol,"[""text"",""image""]",未知,1050000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,54,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.6-sol；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,models.dev/ id=gpt-5.6-sol ambiguous:17,"models.dev/openai / gpt-5.6-sol => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/gpt-5.6-terra,GPT-5.6 Terra,"[""text"",""image""]",未知,1050000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,55,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.6-terra；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,models.dev/ id=gpt-5.6-terra ambiguous:16,"models.dev/openai / gpt-5.6-terra => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/meituan/LongCat-2.0:free,LongCat 2.0,"[""text"",""image""]",未知,1048576,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,56,准确型号未找到，暂留未知,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,输出/模态有补全价值，但准确型号证据不足，暂留未知。,逐项核对准确型号/供应方资料；不删日期、:tag、-fast、-free、-paid、-high或猜替代版本。没有记录时加绑定也无效。,models.dev/meituan id=longcat-2.0:free miss,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/meta/muse-spark-1.1,Muse Spark 1.1,"[""text"",""image"",""pdf"",""video""]","[""text""]",1048576,未知,未知,未知,131072,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]",medium,57,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/meta id=muse-spark-1.1 hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/meta/muse-spark-1.2,Muse Spark 1.2,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]",medium,58,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/meta id=muse-spark-1.2 hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/meta/muse-spark-1.2-contributor,Muse Spark 1.2 Contributor,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]",medium,59,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/meta id=muse-spark-1.2-contributor hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/meta/muse-spark-1.3,Muse Spark 1.3,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]",medium,60,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/meta id=muse-spark-1.3 hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/meta/muse-spark-1.3-contributor,Muse Spark 1.3 Contributor,"[""text"",""image"",""video"",""pdf"",""audio""]","[""text""]",1048576,未知,未知,未知,131072,"[{""effort"":""minimal""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]",medium,61,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/meta id=muse-spark-1.3-contributor hit(context_window,input_modalities,max_output_tokens,output_modalities,supported_reasoning_levels)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/moonshotai/Kimi-K2.5,Kimi K2.5,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,62,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/moonshotai id=kimi-k2.5 hit(context_window,input_modalities,max_output_tokens,output_modalities)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
commandcode/moonshotai/Kimi-K2.6,Kimi K2.6,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,262144,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,63,主要字段已有值，不强补其他列,max_input_tokens;max_tokens(abandon);max_completion_tokens,,max_input_tokens;max_tokens(abandon);max_completion_tokens,无需为凑齐表格补列；缺少的独立token字段不互填。,保留当前结果；max_input_tokens仅在选定来源明确声明时补，不由context_window相减推算。,"models.dev/moonshotai id=kimi-k2.6 hit(context_window,input_modalities,max_output_tokens,output_modalities)",未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
